Customer Statement,Message Length,Platform Type,Submission Channel,Response Time (sec),Resolution Time (min),Issue Category
The  shutdown unexpectedly while I was working on a report.,11,Web,Phone,16,6,Software Issue
Software force close happens every time I open the dashboard.,10,Mobile App,Email,3776,1603,Software Issue
It triggers a software quit before I can even log in.,11,Web,Live Chat,21,12,Software Issue
I edited the file but nothing saved. A classic software not saving bug.,14,Mobile App,Phone,53,4,Software Issue
Submission keeps failing with a software form error message.,9,Desktop,Phone,116,3,Software Issue
Software auto logout occurs while I’m still using the app.,10,Desktop,Live Chat,26,14,Software Issue
I get a blank screen after the loading icon disappears.,11,Mobile App,Phone,41,6,Software Issue
The login page is stuck forever.,8,Mobile App,Live Chat,22,10,Software Issue
"After the update, there’s a major software missing feature in reports.",11,Web,Email,6772,515,Software Issue
Clicking save does nothing. Definitely a software button issue.,10,Mobile App,Phone,36,4,Software Issue
I installed the patch and now the software update broke basic functionality.,12,Desktop,Email,6712,2637,Software Issue
The settings tab has a software broken layout. Everything is misaligned.,12,Mobile App,Email,1356,521,Software Issue
No doubt it’s a software issue. The buttons won’t even click.,12,Web,Live Chat,12,1,Software Issue
"Since this morning, I’ve had a software issue with data disappearing.",11,Mobile App,Phone,75,5,Software Issue
Trying to submit forms results in a strange software issue warning.,11,Mobile App,Email,6218,1792,Software Issue
Software shutdown happens as soon as I select a project file.,11,Desktop,Phone,17,7,Software Issue
Software force close happens even in safe mode.,8,Desktop,Phone,82,6,Software Issue
Unexpected software quit on startup. Won’t even reach the login screen.,12,Mobile App,Phone,63,7,Software Issue
Editing text fields causes a software not saving glitch every time.,11,Mobile App,Email,7116,1316,Software Issue
I’m stuck again because of a software form error during checkout.,11,Web,Live Chat,18,2,Software Issue
It logs me out instantly. Another recurring auto logout issue.,12,Desktop,Live Chat,18,1,Software Issue
I’ve reported this software blank screen problem multiple times.,9,Web,Phone,47,4,Software Issue
Loading stuck has become a daily issue in your software.,10,Desktop,Email,6895,138,Software Issue
Where did the export tool go? Looks like a software missing feature.,12,Mobile App,Phone,24,7,Software Issue
Even the help button has a software button issue now.,10,Mobile App,Phone,111,6,Software Issue
Clearly this was caused by the last patch. Another update broke something.,14,Desktop,Live Chat,5,12,Software Issue
The sidebar has a strange software broken layout today.,9,Desktop,Live Chat,26,4,Software Issue
There’s a new software issue every week with your platform.,10,Mobile App,Email,1177,1105,Software Issue
Every menu opens blank. Classic software issue again.,9,Desktop,Live Chat,28,6,Software Issue
Software issue is preventing me from completing my tasks at all.,11,Web,Email,5327,2405,Software Issue
I was overcharged for the same subscription twice.,8,Web,Phone,37,6,Billing & Payment Issue
My refund hasn't come through even after two weeks.,9,Web,Live Chat,22,11,Billing & Payment Issue
The payment went through but I didn’t get a confirmation.,10,Mobile App,Email,6294,1878,Billing & Payment Issue
Why was my card charged an extra fee this month?,10,Mobile App,Email,3442,2452,Billing & Payment Issue
I noticed a billing error on last month's invoice.,9,Web,Phone,42,7,Billing & Payment Issue
